movieId,release_year,type,score,platform
as115,2019,movie,5.0,amazon
as116,2019,tv show,3.0,amazon
as117,1946,movie,5.0,amazon
as118,2018,movie,2.0,amazon
as119,2019,movie,5.0,amazon
as120,2019,movie,4.5,amazon
as121,2019,movie,3.0,amazon
as122,2019,movie,4.5,amazon
as123,2019,movie,5.0,amazon
as124,1944,movie,2.0,amazon
as125,2019,movie,4.0,amazon
as126,2008,movie,5.0,amazon
as127,2019,movie,3.0,amazon
as128,2018,movie,4.0,amazon
as129,2010,tv show,4.0,amazon
as130,1955,tv show,3.0,amazon
as131,2019,tv show,4.5,amazon
as132,2020,tv show,3.0,amazon
as133,1935,movie,2.5,amazon
as134,1985,movie,4.0,amazon
as135,2021,tv show,1.5,amazon
as136,1937,movie,3.0,amazon
as137,1936,movie,2.5,amazon
as138,2016,tv show,4.0,amazon
as139,2017,tv show,4.0,amazon
as140,2011,movie,3.0,amazon
as141,2017,tv show,2.5,amazon
as142,2015,movie,3.0,amazon
as143,2019,movie,3.0,amazon
as144,2012,movie,1.0,amazon
as145,2012,movie,4.0,amazon
as146,2019,tv show,5.0,amazon
as147,1970,movie,4.0,amazon
as148,2016,movie,2.0,amazon
as149,2017,movie,2.0,amazon
as150,2020,tv show,3.0,amazon
as151,2020,movie,1.5,amazon
as152,2021,movie,5.0,amazon
as153,1945,movie,3.0,amazon
as154,2019,movie,4.0,amazon
as155,2019,movie,4.0,amazon
as156,2014,movie,3.5,amazon
as157,2015,movie,1.0,amazon
as158,2002,tv show,5.0,amazon
as159,2008,tv show,4.0,amazon
as160,1937,movie,2.0,amazon
as161,1939,movie,3.0,amazon
as162,2020,movie,3.0,amazon
as163,2017,tv show,3.0,amazon
as164,2020,tv show,2.0,amazon
as165,2016,movie,4.5,amazon
as166,2018,movie,4.0,amazon
as167,2012,movie,5.0,amazon
as168,2020,movie,4.0,amazon
as169,2018,movie,4.0,amazon
as170,2017,tv show,2.0,amazon
as171,2018,tv show,3.0,amazon
as172,2013,tv show,2.0,amazon
as173,1970,movie,4.0,amazon
as174,1996,movie,3.0,amazon
as175,1997,movie,2.0,amazon
as176,2017,movie,5.0,amazon
as177,2018,tv show,5.0,amazon
as178,2012,movie,5.0,amazon
as179,2019,movie,2.5,amazon
as180,1974,movie,4.0,amazon
as181,2019,movie,4.5,amazon
as182,2012,movie,4.5,amazon
as183,1986,movie,4.0,amazon
as184,2019,tv show,5.0,amazon
as185,2019,movie,5.0,amazon
as186,2020,tv show,3.0,amazon
as187,2015,movie,3.0,amazon
as188,2009,tv show,3.0,amazon
as189,2009,tv show,2.0,amazon
as190,2019,movie,4.0,amazon
as191,2008,tv show,5.0,amazon
as192,2018,tv show,4.5,amazon
as193,2019,movie,4.0,amazon
as194,2019,movie,3.5,amazon
as195,2018,tv show,3.5,amazon
as196,2018,tv show,4.5,amazon
as197,2019,movie,3.5,amazon
as198,2017,tv show,1.0,amazon
as199,2018,tv show,3.0,amazon
as200,2014,movie,4.0,amazon
as201,2013,movie,4.0,amazon
as202,2018,movie,3.0,amazon
as203,2021,movie,4.0,amazon
as204,2020,movie,3.5,amazon
as205,2020,movie,4.0,amazon
as206,2020,movie,4.0,amazon
as207,2020,tv show,5.0,amazon
as208,2020,movie,3.0,amazon
as209,2007,movie,4.0,amazon
as210,2018,movie,1.0,amazon
as211,2018,movie,4.0,amazon
as212,2017,tv show,5.0,amazon
as213,2020,tv show,2.0,amazon
as214,1944,movie,3.5,amazon
as215,2015,movie,3.0,amazon
as216,2019,tv show,5.0,amazon
as217,2019,tv show,3.0,amazon
as218,2020,movie,3.0,amazon
as219,1948,movie,3.5,amazon
as220,2019,movie,2.0,amazon
as221,2021,movie,3.0,amazon
as222,2013,movie,3.5,amazon
as223,1938,movie,3.5,amazon
as224,2019,tv show,2.5,amazon
as225,2011,movie,4.5,amazon
as226,1946,movie,1.0,amazon
as227,2014,tv show,3.0,amazon
as228,2020,movie,3.5,amazon
as229,1978,movie,4.0,amazon
as230,2014,tv show,3.5,amazon
as231,2020,tv show,4.0,amazon
as232,2020,movie,5.0,amazon
as233,2012,tv show,4.0,amazon
as234,2004,movie,4.0,amazon
as235,2019,movie,4.5,amazon
as236,2016,movie,2.0,amazon
as237,2017,movie,3.0,amazon
as238,2017,movie,1.5,amazon
as239,2015,movie,3.5,amazon
as240,2016,movie,4.5,amazon
as241,2009,tv show,4.0,amazon
as242,2004,tv show,4.0,amazon
as243,2018,tv show,3.5,amazon
as244,1943,movie,4.0,amazon
as245,2019,movie,4.0,amazon
as246,1993,movie,3.0,amazon
as247,2004,movie,4.0,amazon
as248,2014,tv show,3.0,amazon
as249,2019,tv show,4.0,amazon
as250,2020,movie,5.0,amazon
as251,2020,movie,5.0,amazon
as252,2019,tv show,4.0,amazon
as253,1985,movie,3.0,amazon
as254,2013,tv show,3.0,amazon
as255,2018,movie,3.0,amazon
as256,2020,tv show,0.5,amazon
as257,2018,movie,3.0,amazon
as258,2021,movie,5.0,amazon
as259,1991,movie,4.5,amazon
as260,2014,movie,4.5,amazon
as261,2019,tv show,4.0,amazon
as262,2008,movie,4.0,amazon
as263,2004,movie,3.0,amazon
as264,2019,movie,3.0,amazon
as265,1975,movie,5.0,amazon
as266,2020,tv show,4.5,amazon
as267,2015,tv show,3.0,amazon
as268,2019,tv show,3.0,amazon
as269,2016,movie,4.0,amazon
as270,2019,tv show,3.0,amazon
as271,2019,movie,4.5,amazon
as272,2012,movie,4.0,amazon
as273,2008,tv show,4.5,amazon
as274,2019,movie,3.0,amazon
as275,2017,movie,4.0,amazon
as276,2007,movie,3.0,amazon
as277,2019,movie,5.0,amazon
as278,2021,movie,5.0,amazon
as279,2008,tv show,5.0,amazon
as280,2019,movie,3.5,amazon
as281,2018,movie,2.0,amazon
as282,2014,tv show,3.5,amazon
as283,2012,tv show,5.0,amazon
as284,2002,movie,4.0,amazon
as285,1960,movie,1.5,amazon
as286,2009,tv show,3.0,amazon
as287,2010,movie,4.0,amazon
as288,2013,tv show,3.0,amazon
as289,2015,tv show,3.5,amazon
as290,2013,tv show,4.5,amazon
as291,2015,tv show,2.5,amazon
as292,2014,tv show,2.5,amazon
as293,2017,tv show,2.0,amazon
as294,2019,tv show,0.5,amazon
as295,1934,movie,5.0,amazon
as296,2019,movie,3.0,amazon
as297,2012,movie,3.0,amazon
as298,2020,tv show,5.0,amazon
as299,2019,tv show,5.0,amazon
as300,2009,movie,0.5,amazon
as301,2020,tv show,5.0,amazon
as302,2019,tv show,3.0,amazon
as303,2015,movie,4.0,amazon
as304,2012,movie,3.0,amazon
as305,2011,movie,4.0,amazon
as306,2013,movie,3.5,amazon
as307,2007,movie,4.0,amazon
as308,2012,movie,3.0,amazon
as309,2020,tv show,4.0,amazon
as310,2019,tv show,1.0,amazon
as311,1940,movie,2.0,amazon
as312,2018,tv show,3.0,amazon
as313,2018,tv show,5.0,amazon
as314,2019,tv show,2.5,amazon
as315,2015,movie,2.0,amazon
as316,2005,tv show,2.5,amazon
as317,2012,movie,4.0,amazon
as318,2020,tv show,5.0,amazon
as319,2021,movie,4.0,amazon
as320,1961,tv show,4.5,amazon
as321,2019,movie,0.5,amazon
as322,1955,movie,3.5,amazon
as323,2020,movie,4.0,amazon
as324,2008,movie,3.0,amazon
as325,2012,movie,5.0,amazon
as326,2013,movie,3.5,amazon
as327,2020,tv show,4.0,amazon
as328,2019,tv show,3.0,amazon
as329,2011,tv show,4.0,amazon
as330,2014,tv show,4.0,amazon
as331,2020,tv show,2.0,amazon
as332,2020,tv show,4.0,amazon
as333,2021,movie,3.0,amazon
as334,1936,movie,3.5,amazon
as335,1944,movie,3.0,amazon
as336,2008,movie,3.5,amazon
as337,2003,movie,3.0,amazon
as338,2007,movie,4.0,amazon
as339,2017,movie,3.0,amazon
as340,1936,movie,3.0,amazon
as341,2001,movie,3.5,amazon
as342,2000,movie,4.5,amazon
as343,2007,movie,3.0,amazon
as344,2018,tv show,3.5,amazon
as345,2013,movie,4.0,amazon
as346,1985,movie,4.0,amazon
as347,1967,movie,3.0,amazon
as348,2018,movie,5.0,amazon
as349,2019,movie,3.0,amazon
as350,2012,tv show,4.0,amazon
as351,1995,movie,1.0,amazon
as352,1951,movie,3.0,amazon
as353,1932,movie,3.0,amazon
as354,1974,movie,3.0,amazon
as355,2021,movie,5.0,amazon
as356,2008,movie,1.0,amazon
as357,2014,movie,4.0,amazon
as358,2015,movie,4.0,amazon
as359,2013,movie,3.0,amazon
as360,2019,tv show,4.5,amazon
as361,2003,tv show,4.0,amazon
as362,2015,tv show,4.0,amazon
as363,2019,tv show,3.5,amazon
as364,2019,tv show,5.0,amazon
as365,2019,movie,3.5,amazon
as366,2020,movie,3.0,amazon
as367,2020,movie,4.5,amazon
as368,2007,movie,5.0,amazon
as369,1941,movie,1.0,amazon
as370,1936,movie,4.0,amazon
as371,2021,tv show,2.5,amazon
as372,2018,tv show,3.0,amazon
as373,2020,movie,1.5,amazon
as374,2001,movie,4.0,amazon
as375,2013,movie,3.0,amazon
as376,1959,movie,4.0,amazon
as377,2018,movie,3.0,amazon
as378,1997,tv show,5.0,amazon
as379,2012,movie,4.0,amazon
as380,2012,movie,5.0,amazon
as381,2012,movie,2.0,amazon
as382,2017,movie,4.0,amazon
as383,2014,tv show,3.5,amazon
as384,2004,movie,4.0,amazon
as385,2018,movie,4.5,amazon
as386,2012,movie,3.0,amazon
as387,1943,movie,3.5,amazon
as388,2015,movie,4.5,amazon
as389,2020,tv show,4.0,amazon
as390,2018,tv show,3.0,amazon
as391,2012,movie,2.0,amazon
as392,1999,movie,3.0,amazon
as393,2020,tv show,5.0,amazon
as394,2007,movie,5.0,amazon
as395,1975,movie,3.0,amazon
as396,2020,tv show,3.5,amazon
as397,2014,movie,4.5,amazon
as398,2011,movie,3.5,amazon
as399,2019,movie,3.0,amazon
as400,1935,movie,2.0,amazon
as401,2009,movie,3.5,amazon
as402,2021,tv show,4.0,amazon
as403,2020,movie,3.5,amazon
as404,2019,tv show,3.0,amazon
as405,2021,tv show,4.0,amazon
as406,1943,movie,4.0,amazon
as407,2017,movie,4.5,amazon
as408,2015,tv show,5.0,amazon
as409,2015,movie,3.0,amazon
as410,2012,tv show,3.5,amazon
as411,2020,tv show,5.0,amazon
as412,2018,tv show,3.5,amazon
as413,2001,movie,2.0,amazon
as414,2018,movie,3.0,amazon
as415,2020,movie,3.0,amazon
as416,2005,tv show,4.0,amazon
as417,2017,tv show,4.0,amazon
as418,1999,tv show,4.5,amazon
as419,2014,tv show,3.0,amazon
as420,2019,tv show,4.0,amazon
as421,2019,tv show,3.5,amazon
as422,2020,tv show,2.5,amazon
as423,2018,tv show,3.0,amazon
as424,2011,tv show,4.0,amazon
as425,1963,movie,3.0,amazon
as426,2012,movie,5.0,amazon
as427,2017,movie,2.0,amazon
as428,1969,movie,1.0,amazon
as429,2018,movie,5.0,amazon
as430,2005,tv show,4.0,amazon
as431,2019,movie,2.0,amazon
as432,2015,movie,4.0,amazon
as433,2011,movie,2.0,amazon
as434,2011,movie,5.0,amazon
as435,2016,tv show,5.0,amazon
as436,1994,movie,3.0,amazon
as437,2019,tv show,3.5,amazon
as438,2015,movie,5.0,amazon
as439,2014,movie,5.0,amazon
as440,2020,movie,3.5,amazon
as441,2020,movie,5.0,amazon
as442,2019,movie,2.0,amazon
as443,2016,tv show,3.0,amazon
as444,1952,movie,2.0,amazon
as445,2015,movie,4.0,amazon
as446,2005,tv show,4.0,amazon
as447,2014,tv show,4.5,amazon
as448,2020,tv show,3.0,amazon
as449,2014,movie,3.5,amazon
as450,2019,tv show,3.0,amazon
as451,2007,movie,4.0,amazon
as452,2008,movie,5.0,amazon
as453,2020,movie,4.0,amazon
as454,2015,movie,4.5,amazon
as455,2014,tv show,2.0,amazon
as456,1995,movie,5.0,amazon
as457,1947,movie,4.5,amazon
as458,2006,tv show,4.0,amazon
as459,2016,movie,4.0,amazon
as460,2008,movie,3.0,amazon
as461,2006,tv show,3.0,amazon
as462,2018,tv show,4.0,amazon
as463,2007,movie,4.0,amazon
as464,2010,movie,5.0,amazon
as465,2018,tv show,3.5,amazon
as466,2014,movie,4.0,amazon
as467,2019,tv show,4.0,amazon
as468,2020,movie,5.0,amazon
as469,2001,movie,4.0,amazon
as470,2018,tv show,1.5,amazon
as471,2021,tv show,3.5,amazon
as472,1999,movie,1.5,amazon
as473,1939,movie,3.0,amazon
as474,2007,movie,4.0,amazon
as475,1929,movie,3.5,amazon
as476,2012,tv show,4.0,amazon
as477,2016,movie,3.0,amazon
as478,2016,tv show,4.5,amazon
as479,1990,movie,4.0,amazon
as480,2020,tv show,5.0,amazon
as481,2007,movie,4.0,amazon
as482,2016,movie,3.0,amazon
as483,2020,movie,3.5,amazon
as484,2015,movie,3.5,amazon
as485,2020,tv show,4.0,amazon
as486,1925,movie,5.0,amazon
as487,2013,movie,5.0,amazon
as488,2006,movie,5.0,amazon
as489,1988,movie,4.0,amazon
as490,2011,movie,4.0,amazon
as491,2014,tv show,5.0,amazon
as492,2019,movie,4.0,amazon
as493,1974,movie,0.5,amazon
as494,2013,tv show,3.5,amazon
as495,2016,tv show,4.0,amazon
as496,1951,movie,4.0,amazon
as497,2009,movie,3.0,amazon
as498,1970,movie,4.0,amazon
as499,1970,movie,3.5,amazon
as500,2019,movie,4.0,amazon
as501,1970,movie,2.0,amazon
as502,2020,movie,5.0,amazon
as503,2007,movie,3.0,amazon
as504,2003,tv show,4.5,amazon
as505,1968,movie,3.5,amazon
as506,1963,movie,3.5,amazon
as507,2013,tv show,3.5,amazon
as508,2015,tv show,2.0,amazon
as509,1943,movie,5.0,amazon
as510,2016,tv show,3.0,amazon
as511,2016,movie,4.0,amazon
as512,2016,movie,5.0,amazon
as513,2016,movie,3.5,amazon
as514,2016,tv show,3.0,amazon
as515,2017,tv show,4.0,amazon
as516,2016,tv show,4.0,amazon
as517,2017,tv show,3.5,amazon
as518,1935,movie,4.0,amazon
as519,2016,tv show,5.0,amazon
as520,2016,tv show,4.0,amazon
as521,2001,movie,3.0,amazon
as522,2010,tv show,1.0,amazon
as523,1997,movie,2.0,amazon
as524,1999,movie,3.0,amazon
as525,2014,movie,4.0,amazon
as526,2016,tv show,1.0,amazon
as527,2017,tv show,3.5,amazon
as528,2007,movie,4.0,amazon
as529,2020,movie,4.0,amazon
as530,2016,tv show,3.5,amazon
as531,1987,movie,4.0,amazon
as532,2020,movie,1.0,amazon
as533,2013,movie,4.5,amazon
as534,2012,movie,4.5,amazon
as535,1945,movie,4.5,amazon
as536,2017,tv show,5.0,amazon
as537,2000,movie,2.5,amazon
as538,2017,movie,3.0,amazon
as539,2014,tv show,3.0,amazon
as540,2020,movie,4.0,amazon
as541,2017,tv show,4.0,amazon
as542,2014,tv show,4.0,amazon
as543,2019,tv show,4.0,amazon
as544,2005,movie,3.5,amazon
as545,2019,movie,1.5,amazon
as546,2011,movie,2.5,amazon
as547,2019,tv show,2.0,amazon
as548,1934,movie,5.0,amazon
as549,1942,movie,3.5,amazon
as550,2016,movie,3.0,amazon
as551,2016,movie,5.0,amazon
as552,2001,movie,3.5,amazon
as553,1999,movie,5.0,amazon
as554,1967,tv show,2.5,amazon
as555,2017,tv show,3.0,amazon
as556,1990,movie,5.0,amazon
as557,2009,movie,5.0,amazon
as558,2015,movie,4.0,amazon
as559,2018,movie,2.0,amazon
as560,1941,movie,0.5,amazon
as561,1995,tv show,4.0,amazon
as562,1970,movie,3.5,amazon
as563,2007,movie,3.5,amazon
as564,2019,tv show,2.0,amazon
as565,2020,movie,3.0,amazon
as566,2018,movie,4.5,amazon
as567,2018,movie,3.5,amazon
as568,2017,movie,2.5,amazon
as569,2018,movie,2.0,amazon
as570,2017,tv show,2.5,amazon
as571,2020,movie,4.0,amazon
as572,2018,movie,2.5,amazon
as573,2017,tv show,3.0,amazon
as574,2018,tv show,4.5,amazon
as575,2020,tv show,5.0,amazon
as576,1932,movie,4.5,amazon
as577,2016,movie,4.0,amazon
as578,1986,movie,3.0,amazon
as579,2019,movie,5.0,amazon
as580,2020,movie,4.5,amazon
as581,1948,movie,5.0,amazon
as582,1961,movie,3.5,amazon
as583,2019,movie,3.0,amazon
as584,2020,movie,4.0,amazon
as585,2014,tv show,3.0,amazon
as586,2019,movie,5.0,amazon
as587,1941,movie,4.0,amazon
as588,1979,movie,3.0,amazon
as589,1946,movie,5.0,amazon
as590,2016,tv show,3.0,amazon
as591,2015,tv show,2.0,amazon
as592,2015,movie,3.5,amazon
as593,2019,tv show,1.0,amazon
as594,2018,movie,5.0,amazon
as595,1949,movie,4.0,amazon
as596,2010,movie,4.0,amazon
as597,2004,movie,4.0,amazon
as598,1980,movie,2.0,amazon
as599,1969,movie,4.5,amazon
as600,2017,tv show,5.0,amazon
as601,1929,movie,4.0,amazon
as602,2019,movie,3.0,amazon
as603,2008,tv show,1.5,amazon
as604,2020,movie,4.0,amazon
as605,2010,tv show,4.0,amazon
as606,2010,tv show,3.5,amazon
as607,2000,movie,4.0,amazon
as608,2014,movie,5.0,amazon
as609,2017,tv show,4.0,amazon
as610,2015,movie,3.0,amazon
as611,2004,movie,3.0,amazon
as612,2017,tv show,5.0,amazon
as613,2017,movie,2.5,amazon
as614,2017,tv show,5.0,amazon
as615,2010,movie,4.0,amazon
as616,1995,tv show,5.0,amazon
as617,2002,movie,3.5,amazon
as618,2008,movie,4.0,amazon
as619,2009,tv show,5.0,amazon
as620,2018,movie,5.0,amazon
as621,2007,movie,3.5,amazon
as622,1981,tv show,4.0,amazon
as623,2011,movie,3.0,amazon
as624,2012,movie,5.0,amazon
as625,2017,movie,3.5,amazon
as626,2018,tv show,4.0,amazon
as627,2012,tv show,4.0,amazon
as628,2019,movie,3.0,amazon
as629,2006,movie,3.0,amazon
as630,2018,tv show,2.0,amazon
as631,2016,movie,1.0,amazon
as632,2011,movie,3.0,amazon
as633,2019,movie,1.0,amazon
as634,1935,movie,5.0,amazon
as635,2021,tv show,4.0,amazon
as636,2003,tv show,2.0,amazon
as637,2017,tv show,4.0,amazon
as638,2020,tv show,2.0,amazon
as639,2015,movie,4.0,amazon
as640,2019,movie,4.0,amazon
as641,2005,movie,4.0,amazon
as642,2017,tv show,4.0,amazon
as643,2020,movie,4.5,amazon
as644,2016,movie,4.0,amazon
as645,2012,tv show,3.5,amazon
as646,2020,tv show,3.5,amazon
as647,2013,movie,4.0,amazon
as648,1942,movie,3.0,amazon
as649,2020,tv show,2.0,amazon
as650,1974,movie,4.0,amazon
as651,1976,movie,3.5,amazon
as652,2018,tv show,3.0,amazon
as653,2020,tv show,3.5,amazon
as654,2015,tv show,3.0,amazon
as655,1990,movie,1.0,amazon
as656,1939,movie,3.0,amazon
as657,2011,movie,2.0,amazon
as658,2014,tv show,3.0,amazon
as659,2016,movie,4.0,amazon
as660,2013,tv show,3.5,amazon
as661,2019,tv show,5.0,amazon
as662,1949,movie,5.0,amazon
as663,2014,movie,4.0,amazon
as664,2019,tv show,4.0,amazon
as665,2002,tv show,2.0,amazon
as666,1940,movie,4.0,amazon
as667,2019,movie,2.0,amazon
as668,2019,movie,5.0,amazon
as669,1948,movie,3.5,amazon
as670,2012,movie,4.0,amazon
as671,2016,tv show,5.0,amazon
as672,2011,tv show,4.0,amazon
as673,2013,tv show,5.0,amazon
as674,2019,movie,3.0,amazon
as675,2018,movie,5.0,amazon
as676,2019,movie,4.0,amazon
as677,2021,tv show,4.0,amazon
as678,2016,tv show,3.5,amazon
as679,2017,tv show,3.0,amazon
as680,2019,tv show,1.0,amazon
as681,1966,movie,2.0,amazon
as682,2009,movie,2.0,amazon
as683,2017,tv show,4.0,amazon
as684,1980,movie,3.0,amazon
as685,1997,movie,3.0,amazon
as686,1925,movie,2.0,amazon
as687,2015,movie,0.5,amazon
as688,2019,tv show,4.0,amazon
as689,2011,movie,3.0,amazon
as690,2008,movie,3.0,amazon
as691,2020,movie,3.0,amazon
as692,1963,tv show,2.0,amazon
as693,2019,movie,1.0,amazon
as694,2019,movie,5.0,amazon
as695,2019,movie,2.5,amazon
as696,1942,movie,5.0,amazon
as697,2014,tv show,2.0,amazon
as698,2020,movie,3.5,amazon
as699,2018,tv show,2.5,amazon
as700,2016,tv show,3.0,amazon
as701,2016,movie,2.0,amazon
as702,2020,movie,3.0,amazon
as703,2019,movie,3.0,amazon
as704,2018,movie,4.0,amazon
as705,1973,movie,2.0,amazon
as706,1944,movie,5.0,amazon
as707,1936,movie,4.0,amazon
as708,2009,movie,3.0,amazon
as709,1956,movie,3.5,amazon
as710,1940,movie,3.0,amazon
as711,1975,movie,3.0,amazon
as712,2020,movie,4.0,amazon
as713,2020,movie,3.5,amazon
as714,2005,movie,4.0,amazon
as715,1980,movie,4.5,amazon
as716,2009,movie,4.0,amazon
as717,2019,movie,3.5,amazon
as718,2014,movie,4.0,amazon
as719,2016,movie,3.0,amazon
as720,2013,movie,4.0,amazon
as721,1993,movie,3.5,amazon
as722,2020,tv show,4.0,amazon
as723,1972,tv show,3.0,amazon
as724,1950,movie,4.0,amazon
as725,2020,movie,5.0,amazon
as726,2013,movie,4.0,amazon
as727,1955,movie,5.0,amazon
as728,2020,movie,4.0,amazon
as729,2019,movie,2.5,amazon
as730,1992,movie,5.0,amazon
as731,2020,tv show,4.5,amazon
as732,2015,tv show,4.5,amazon
as733,2018,tv show,4.0,amazon
as734,2018,tv show,4.5,amazon
as735,1993,movie,2.0,amazon
as736,2013,movie,3.0,amazon
as737,1991,movie,4.0,amazon
as738,1948,movie,1.0,amazon
as739,1953,movie,5.0,amazon
as740,2007,movie,2.0,amazon
as741,1949,movie,3.0,amazon
as742,2006,movie,4.5,amazon
as743,1963,tv show,3.0,amazon
as744,1936,tv show,5.0,amazon
as745,1975,tv show,4.0,amazon
as746,2006,tv show,3.0,amazon
as747,2016,movie,3.5,amazon
as748,2007,movie,3.0,amazon
as749,1997,movie,3.0,amazon
as750,1982,movie,5.0,amazon
as751,1985,movie,5.0,amazon
as752,2000,movie,4.0,amazon
as753,2008,movie,3.5,amazon
as754,2021,tv show,3.0,amazon
as755,2013,tv show,3.0,amazon
as756,1977,movie,5.0,amazon
as757,2016,movie,4.0,amazon
as758,2019,movie,2.0,amazon
as759,2008,movie,4.0,amazon
as760,2007,movie,3.0,amazon
as761,2007,movie,5.0,amazon
as762,1960,movie,2.0,amazon
as763,2014,movie,3.5,amazon
as764,2017,movie,3.0,amazon
as765,2018,tv show,2.0,amazon
as766,2016,tv show,5.0,amazon
as767,2015,tv show,2.0,amazon
as768,2019,tv show,4.0,amazon
as769,2008,tv show,5.0,amazon
as770,2013,tv show,3.0,amazon
as771,2017,tv show,3.0,amazon
as772,1937,movie,4.0,amazon
as773,2016,tv show,0.5,amazon
as774,1952,movie,3.0,amazon
as775,1937,movie,0.5,amazon
as776,2019,tv show,4.0,amazon
as777,2019,tv show,3.0,amazon
as778,1950,movie,2.0,amazon
as779,2016,tv show,3.0,amazon
as780,2019,movie,3.0,amazon
as781,1978,movie,4.0,amazon
as782,1941,movie,5.0,amazon
as783,2015,movie,1.0,amazon
as784,2020,movie,4.0,amazon
as785,2020,movie,4.0,amazon
as786,2011,movie,4.0,amazon
as787,2015,tv show,5.0,amazon
as788,1943,movie,4.0,amazon
as789,2020,movie,2.0,amazon
as790,2016,movie,3.5,amazon
as791,1946,movie,4.5,amazon
as792,2014,movie,2.0,amazon
as793,2014,movie,3.5,amazon
as794,2014,tv show,3.0,amazon
as795,2013,movie,3.5,amazon
as796,2016,tv show,4.0,amazon
as797,2021,tv show,3.0,amazon
as798,2019,movie,3.5,amazon
as799,2014,movie,5.0,amazon
as800,2012,movie,4.0,amazon
as801,2017,tv show,3.5,amazon
as802,2015,movie,1.0,amazon
as803,2020,tv show,5.0,amazon
as804,2005,tv show,2.5,amazon
as805,2019,movie,3.0,amazon
